Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian  (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
unlock	UNLOCK	الغاء القفل	ODEMKNOUT	FREISCHALTEN	ΞΕΚΛΕΙΔΩΜΑ	DESBLOQUEAR	AVASTA	AVATA	OUVRIR	अनलॉक	MEMBUKA KUNCI	SBLOCCARE	ロックを解除する	ដោះសោ	ಅನ್ಲಾಕ್ ಮಾಡಿ	터놓다	ປົດລັອກ	ATbloķēt	BUKA KUNCI	ONTGRENDELEN	ODBLOKOWAĆ	DESBLOQUEAR	РАЗБЛОКИРОВАТЬ	ปลดล็อค	KİLİDİNİ AÇ	РОЗБЛОКУВАТИ	开锁	MỞ KHÓA
unlock_all	UNLOCK ALL	فتح الكل	ODEMKNOUT VŠE	ALLE ENTSPERREN	ΞΕΚΛΕΙΔΩΜΑ ΟΛΩΝ	DESBLOQUEAR TODOS	AVA KÕIK	AVAA KAIKKI	DÉBLOQUÉ TOUT	सबको अनलॉक करें	BUKA SEMUA	SBLOCCA TUTTO	すべてのロックを解除	ដោះសោទាំងអស់។	ಎಲ್ಲವನ್ನೂ ಅನ್ಲಾಕ್ ಮಾಡಿ	모두 잠금 해제	ປົດລັອກທັງໝົດ	ATKLĀJOT VISU	BUKA KUNCI SEMUA	SPEEL ALLES VRIJ	ODBLOKOWANIE WSZYSTKICH	DESTRANCAR TUDO	РАЗБЛОКИРОВАТЬ ВСЕ	ปลดล็อคทั้งหมด	HEPSİNİN KİLİDİNİ AÇ	РОЗБЛОКУВАТИ ВСІ	全部解锁	MỞ KHÓA TẤT CẢ
unlock_widget	UNLOCK WIDGET	فتح القطعة	ODEMKNOUT WIDGET	WIDGET ENTSPERREN	ΞΕΚΛΕΙΔΩΜΑ WIDGET	DESBLOQUEAR WIDGET	AVASTA VIDINA	AVAA WIDGET	DÉBLOQUER LE WIDGET	विजेट अनलॉक करें	BUKA WIDGET	SBLOCCA IL WIDGET	ウィジェットのロックを解除	ដោះសោធាតុក្រាហ្វិក	ವಿಜೆಟ್ ಅನ್ನು ಅನ್ಲಾಕ್ ಮಾಡಿ	위젯 잠금 해제	ປົດລັອກ widget	ATKLĀJOT LOGRĀKU	BUKA KUNCI WIDGET	ONTGRENDEL WIDGET	ODBLOKUJ WIDŻET	DESBLOQUEAR WIDGET	РАЗБЛОКИРОВАТЬ ВИДЖЕТ	ปลดล็อควิดเจ็ต	WIDGET'IN KİLİDİNİ AÇ	РОЗБЛОКУВАТИ ВІДЖЕТ	解锁小部件	MỞ KHÓA TIỆN ÍCH
please_select_your_widget	Please select your widget	الرجاء تحديد القطعة الخاصة بك	Vyberte prosím svůj widget	Bitte wählen Sie Ihr Widget aus	Επιλέξτε το widget σας	Por favor seleccione su widget	Palun valige oma vidin	Valitse widgettisi	Veuillez sélectionner votre widget	कृपया अपना विजेट चुनें	Silakan pilih widget Anda	Seleziona il tuo widget	ウィジェットを選択してください	សូមជ្រើសរើសធាតុក្រាហ្វិករបស់អ្នក។	ದಯವಿಟ್ಟು ನಿಮ್ಮ ವಿಜೆಟ್ ಆಯ್ಕೆಮಾಡಿ	위젯을 선택해주세요	ກະລຸນາເລືອກ widget ຂອງທ່ານ	Lūdzu, atlasiet savu logrīku	Sila pilih widget anda	Selecteer uw widget	Wybierz swój widget	Selecione seu widget	Пожалуйста, выберите виджет	โปรดเลือกวิดเจ็ตของคุณ	Lütfen widget'ınızı seçin	Виберіть свій віджет	请选择您的小部件	Vui lòng chọn tiện ích của bạn
unlock_successfully	Unlock successfully!	فتح بنجاح!	Odemknout úspěšně!	Erfolgreich freischalten!	Ξεκλείδωμα με επιτυχία!	¡Desbloquea con éxito!	Avamine õnnestus!	Avaa lukitus onnistuneesti!	Débloquez avec succès !	सफलतापूर्वक अनलॉक!	Buka kunci dengan sukses!	Sblocca con successo!	無事にロック解除完了！	ដោះសោដោយជោគជ័យ!	ಯಶಸ್ವಿಯಾಗಿ ಅನ್ಲಾಕ್ ಮಾಡಿ!	성공적으로 잠금 해제되었습니다!	ປົດລັອກສຳເລັດແລ້ວ!	Veiksmīgi atbloķēt!	Buka kunci berjaya!	Ontgrendel succesvol!	Odblokuj pomyślnie!	Desbloqueie com sucesso!	Разблокировка прошла успешно!	ปลดล็อคสำเร็จ!	Başarıyla kilidini aç!	Успішно розблоковано!	解锁成功！	Mở khóa thành công!
not_enough_diamond	Not enough Diamond!	لا يكفي الماس!	Není dost diamantů!	Nicht genug Diamant!	Δεν είναι αρκετό το Diamond!	¡No hay suficiente diamante!	Teemandist ei piisa!	Timantti ei riitä!	Pas assez de diamant !	पर्याप्त हीरा नहीं!	Berlian tidak cukup!	Non abbastanza diamante!	ダイヤモンドが足りない！	មិន​គ្រប់​គ្រាន់​ទេ ពេជ្រ!	ಸಾಕಷ್ಟು ಡೈಮಂಡ್ ಇಲ್ಲ!	다이아몬드가 부족해요!	ບໍ່ພໍເພັດ!	Par maz dimanta!	Tak cukup Intan!	Niet genoeg diamant!	Za mało Diamentu!	Diamante insuficiente!	Недостаточно алмаза!	เพชรไม่พอ!	Yeterli Elmas yok!	Недостатньо діаманта!	钻石不够！	Không đủ kim cương!
item_is_already_unlocked	Item is already Unlocked!	العنصر مفتوح بالفعل!	Položka je již odemčena!	Artikel ist bereits freigeschaltet!	Το στοιχείο είναι ήδη ξεκλείδωτο!	¡El artículo ya está desbloqueado!	Üksus on juba lukust lahti!	Tuote on jo avattu!	L'article est déjà débloqué !	आइटम पहले से ही अनलॉक है!	Item sudah terbuka!	L'oggetto è già sbloccato!	アイテムはすでにロック解除されています!	ធាតុត្រូវបានដោះសោរួចហើយ!	ಐಟಂ ಈಗಾಗಲೇ ಅನ್‌ಲಾಕ್ ಆಗಿದೆ!	항목이 이미 잠금 해제되었습니다!	ລາຍການຖືກປົດລັອກແລ້ວ!	Prece jau ir atbloķēta!	Item sudah Dibuka kunci!	Het item is al ontgrendeld!	Przedmiot jest już odblokowany!	O item já está desbloqueado!	Предмет уже разблокирован!	ไอเท็มนี้ถูกปลดล็อคแล้ว!	Öğenin Kilidi zaten Açık!	Товар уже розблоковано!	物品已经解锁！	Vật phẩm đã được mở khóa!
success	Success!	نجاح!	Úspěch!	Erfolg!	Επιτυχία!	¡Éxito!	Edu!	Menestys!	Succès!	सफलता!	Kesuksesan!	Successo!	成功！	ជោគជ័យ!	ಯಶಸ್ಸು!	성공!	ຄວາມ​ສໍາ​ເລັດ!	Veiksmi!	Berjaya!	Succes!	Powodzenie!	Sucesso!	Успех!	ความสำเร็จ!	Başarı!	Успіх!	成功！	Thành công!
error	Error!	خطأ!	Chyba!	Fehler!	Λάθος!	¡Error!	Viga!	Virhe!	Erreur!	गलती!	Kesalahan!	Errore!	エラー！	កំហុស!	ದೋಷ!	오류!	ຜິດພາດ!	Kļūda!	Ralat!	Fout!	Błąd!	Erro!	Ошибка!	ข้อผิดพลาด!	Hata!	Помилка!	错误！	Lỗi!
please_select_application_first	Please select application first!	الرجاء تحديد التطبيق أولا!	Nejprve prosím vyberte aplikaci!	Bitte zuerst Anwendung auswählen!	Επιλέξτε πρώτα την εφαρμογή!	¡Por favor seleccione la aplicación primero!	Valige esmalt rakendus!	Valitse ensin sovellus!	Veuillez d'abord sélectionner votre candidature !	कृपया पहले आवेदन का चयन करें!	Silakan pilih aplikasi terlebih dahulu!	Seleziona prima l'applicazione!	最初にアプリケーションを選択してください。	សូមជ្រើសរើសកម្មវិធីជាមុនសិន!	ದಯವಿಟ್ಟು ಮೊದಲು ಅಪ್ಲಿಕೇಶನ್ ಆಯ್ಕೆಮಾಡಿ!	먼저 신청을 선택해주세요!	ກະລຸນາເລືອກໃບສະໝັກກ່ອນ!	Vispirms izvēlieties pieteikumu!	Sila pilih permohonan dahulu!	Selecteer eerst de toepassing!	Najpierw wybierz aplikację!	Selecione o aplicativo primeiro!	Пожалуйста, сначала выберите приложение!	กรุณาเลือกใบสมัครก่อน!	Lütfen önce uygulamayı seçin!	Спочатку виберіть програму!	请先选择应用！	Vui lòng chọn ứng dụng trước!
custom_widget	Custom Widget	القطعة المخصصة	Vlastní widget	Benutzerdefiniertes Widget	Προσαρμοσμένο γραφικό στοιχείο	Widget personalizado	Kohandatud vidin	Mukautettu widget	Widget personnalisé	कस्टम विजेट	Widget Khusus	Widget personalizzato	カスタムウィジェット	ធាតុក្រាហ្វិកផ្ទាល់ខ្លួន	ಕಸ್ಟಮ್ ವಿಜೆಟ್	맞춤 위젯	Widget ກຳນົດເອງ	Pielāgots logrīks	Widget Tersuai	Aangepaste widget	Niestandardowy widget	Widget personalizado	Пользовательский виджет	วิดเจ็ตที่กำหนดเอง	Özel Widget	Спеціальний віджет	自定义小部件	Tiện ích tùy chỉnh
edit	EDIT	يحرر	UPRAVIT	BEARBEITEN	ΕΠΕΞΕΡΓΑΣΙΑ	EDITAR	EDIT	MUOKATA	MODIFIER	संपादन करना	Sunting	MODIFICARE	編集	កែសម្រួល	ತಿದ್ದು	편집하다	ແກ້ໄຂ	REDIĢĒT	EDIT	BEWERKING	EDYTOWAĆ	EDITAR	РЕДАКТИРОВАТЬ	แก้ไข	DÜZENLEMEK	РЕДАГУВАТИ	编辑	BIÊN TẬP
create_widget	CREATE WIDGET	إنشاء القطعة	VYTVOŘIT WIDGET	WIDGET ERSTELLEN	ΔΗΜΙΟΥΡΓΙΑ ΓΡΑΦΙΚΟΥ ΛΟΓΙΟΥ	CREAR WIDGET	LOO VIDINA	LUO WIDGETTI	CRÉER UN WIDGET	विजेट बनाएं	BUAT WIDGET	CREA WIDGET	ウィジェットの作成	បង្កើតធាតុក្រាហ្វិក	ವಿಜೆಟ್ ರಚಿಸಿ	위젯 만들기	ສ້າງ widget	IZVEIDOT LOGrīku	BUAT WIDGET	MAAK WIDGET	UTWÓRZ WIDŻET	CRIAR WIDGET	СОЗДАТЬ ВИДЖЕТ	สร้างวิดเจ็ต	WIDGET'I OLUŞTUR	СТВОРИТИ ВІДЖЕТ	创建小部件	TẠO TIỆN ÍCH
font_color	Font Color	لون الخط	Barva fontu	Schriftfarbe	Χρώμα γραμματοσειράς	Color de fuente	Fondi värv	Fontin väri	Couleur de la police	लिपि का रंग	Warna huruf	Colore del carattere	フォントの色	ពណ៌ពុម្ពអក្សរ	ಫಾಂಟ್ ಬಣ್ಣ	글꼴 색상	ສີຕົວອັກສອນ	Fonta krāsa	Warna Fon	Lettertypekleur	Kolor czcionki	Cor da fonte	Цвет шрифта	สีตัวอักษร	Yazı rengi	Колір шрифту	字体颜色	Màu chữ
continue_text	Continue	يكمل	Pokračovat	Weitermachen	Να συνεχίσει	Continuar	Jätka	Jatkaa	Continuer	जारी रखना	Melanjutkan	Continua	続く	បន្ត	ಮುಂದುವರಿಸಿ	계속하다	ສືບຕໍ່	Turpināt	teruskan	Doorgaan	Kontynuować	Continuar	Продолжать	ดำเนินการต่อ	Devam etmek	Продовжити	继续	Tiếp tục
widget_is_loading	Widget is loading…	جارٍ تحميل الأداة…	Widget se načítá…	Widget wird geladen…	Γίνεται φόρτωση του γραφικού στοιχείου…	El widget se está cargando...	Vidinat laaditakse…	Widgetiä ladataan…	Le widget est en cours de chargement…	विजेट लोड हो रहा है...	Widget sedang dimuat…	Il widget è in caricamento...	ウィジェットを読み込んでいます…	ធាតុក្រាហ្វិកកំពុងផ្ទុក...	ವಿಜೆಟ್ ಲೋಡ್ ಆಗುತ್ತಿದೆ...	위젯 로드 중…	ກຳລັງໂຫຼດວິດເຈັດ...	Notiek logrīka ielāde…	Widget sedang dimuatkan…	Widget wordt geladen...	Ładowanie widżetu…	O widget está carregando…	Виджет загружается…	กำลังโหลดวิดเจ็ต...	Widget yükleniyor…	Віджет завантажується…	小部件正在加载...	Tiện ích đang tải…
layout	Layout	تَخطِيط	Rozložení	Layout	Διάταξη	Disposición	Paigutus	Layout	Mise en page	लेआउट	Tata Letak	Disposizione	レイアウト	ប្លង់	ಲೆಔಟ್	공들여 나열한 것	ແຜນຜັງ	Izkārtojums	Susun atur	Indeling	Układ	Disposição	Макет	เค้าโครง	Düzen	Макет	布局	Cách trình bày
done	Done	منتهي	Hotovo	Erledigt	Εγινε	Hecho	Valmis	Tehty	Fait	हो गया	Selesai	Fatto	終わり	រួចរាល់	ಮುಗಿದಿದೆ	완료	ສຳເລັດແລ້ວ	Gatavs	Selesai	Klaar	Zrobione	Feito	Сделанный	เสร็จแล้ว	Tamamlamak	Готово	完毕	Xong
no_internet_connection	No Internet Connection!	لا يوجد اتصال بالإنترنت!	Žádné internetové připojení!	Keine Internetverbindung!	Δεν υπάρχει σύνδεση στο διαδίκτυο!	¡Sin conexión a Internet!	Interneti-ühendus puudub!	Ei Internet-yhteyttä!	Pas de connexion Internet!	कोई इंटरनेट कनेक्शन नहीं!	Tidak ada koneksi internet!	Nessuna connessione internet!	インターネット接続がありません!	គ្មានការតភ្ជាប់អ៊ីនធឺណិត!	ಇಂಟರ್ನೆಟ್ ಸಂಪರ್ಕವಿಲ್ಲ!	인터넷에 연결되지 않음!	ບໍ່ມີການເຊື່ອມຕໍ່ອິນເຕີເນັດ!	Nav interneta savienojuma!	Tiada sambungan internet!	Geen internet verbinding!	Brak połączenia z internetem!	Sem conexão com a Internet!	Нет соединения с интернетом!	ไม่มีการเชื่อมต่ออินเทอร์เน็ต!	İnternet bağlantısı yok!	Немає підключення до Інтернету!	没有网络连接！	Không có kết nối Internet!
massage_connection_dialog	No internet connection.\nPlease check connection and try again.	لا يوجد اتصال بالإنترنت.\nيُرجى التحقق من الاتصال والمحاولة مرة أخرى.	Žádné připojení k internetu.\nZkontrolujte připojení a zkuste to znovu.	Keine Internetverbindung.\nBitte überprüfen Sie die Verbindung und versuchen Sie es erneut.	Δεν υπάρχει σύνδεση στο διαδίκτυο.\nΕλέγξτε τη σύνδεση και δοκιμάστε ξανά.	No hay conexión a Internet.\nComprueba la conexión y vuelve a intentarlo.	Interneti-ühendus puudub.\nKontrollige ühendust ja proovige uuesti.	Ei internetyhteyttä.\nTarkista yhteys ja yritä uudelleen.	Pas de connexion Internet.\nVeuillez vérifier la connexion et réessayer.	कोई इंटरनेट कनेक्शन नहीं।\nकृपया कनेक्शन जांचें और पुनः प्रयास करें।	Tidak ada koneksi internet.\nSilakan periksa koneksi dan coba lagi.	Nessuna connessione Internet.\nControlla la connessione e riprova.	インターネット接続がありません。\n接続を確認して、もう一度試してください。	មិនមានការតភ្ជាប់អ៊ីនធឺណិតទេ។\nសូមពិនិត្យការតភ្ជាប់ ហើយព្យាយាមម្តងទៀត។	ಇಂಟರ್ನೆಟ್ ಸಂಪರ್ಕವಿಲ್ಲ.\nದಯವಿಟ್ಟು ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ ಹಾಗೂ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.	인터넷에 연결되어 있지 않습니다.\n연결을 확인하고 다시 시도해 주세요.	ບໍ່ມີການເຊື່ອມຕໍ່ອິນເຕີເນັດ.\nກະລຸນາກວດສອບການເຊື່ອມຕໍ່ແລ້ວລອງໃໝ່ອີກຄັ້ງ.	Nav interneta savienojuma.\nLūdzu, pārbaudiet savienojumu un mēģiniet vēlreiz.	Tiada sambungan Internet.\nSila semak sambungan dan cuba lagi.	Geen internetverbinding.\nControleer de verbinding en probeer het opnieuw.	Brak połączenia z internetem.\nSprawdź połączenie i spróbuj ponownie.	Sem conexão com a Internet.\nVerifique a conexão e tente novamente.	Нет подключения к Интернету.\nПроверьте соединение и повторите попытку.	ไม่มีการเชื่อมต่ออินเทอร์เน็ต\nโปรดตรวจสอบการเชื่อมต่อแล้วลองอีกครั้ง	İnternet bağlantısı yok.\nLütfen bağlantıyı kontrol edip tekrar deneyin.	Немає з’єднання з Інтернетом.\nПеревірте з’єднання та повторіть спробу.	没有互联网连接。\n请检查连接并重试。	Không có kết nối Internet.\nVui lòng kiểm tra kết nối và thử lại.
retry	Retry	أعد المحاولة	Zkuste to znovu	Wiederholen	Ξαναδοκιμάσετε	Rever	Uuesti proovima	Yritä uudelleen	Recommencez	पुन: प्रयास करें	Mencoba kembali	Riprova	リトライ	ព្យាយាមម្តងទៀត	ಮರುಪ್ರಯತ್ನಿಸಿ	다시 해 보다	ລອງໃໝ່	Mēģiniet vēlreiz	Cuba semula	Opnieuw proberen	Spróbować ponownie	Tentar novamente	Повторить попытку	ลองอีกครั้ง	Yeniden dene	Повторіть спробу	重试	Thử lại
this_action_can_contain_ads	This action may contain ads	قد يحتوي هذا الإجراء على إعلانات	Tato akce může obsahovat reklamy	Diese Aktion kann Werbung enthalten	Αυτή η ενέργεια μπορεί να περιέχει διαφημίσεις	Esta acción puede contener anuncios.	See toiming võib sisaldada reklaame	Tämä toiminto voi sisältää mainoksia	Cette action peut contenir des annonces	इस क्रिया में विज्ञापन शामिल हो सकते हैं	Tindakan ini mungkin berisi iklan	Questa azione può contenere annunci	このアクションには広告が含まれる可能性があります	សកម្មភាពនេះអាចមានការផ្សាយពាណិជ្ជកម្ម	ಈ ಕ್ರಿಯೆಯು ಜಾಹೀರಾತುಗಳನ್ನು ಒಳಗೊಂಡಿರಬಹುದು	이 작업에는 광고가 포함될 수 있습니다.	ຄຳສັ່ງນີ້ອາດມີໂຄສະນາ	Šī darbība var ietvert reklāmas	Tindakan ini mungkin mengandungi iklan	Deze actie kan advertenties bevatten	Ta akcja może zawierać reklamy	Esta ação pode conter anúncios	Это действие может содержать рекламу	การดำเนินการนี้อาจมีโฆษณา	Bu işlem reklam içerebilir	Ця дія може містити рекламу	此操作可能包含广告	Hành động này có thể chứa quảng cáo
gems	Gems	الأحجار الكريمة	Drahokamy	Edelsteine	Πολύτιμοι λίθοι	Gemas	Kalliskivid	Jalokivet	Pierres précieuses	रत्न	Permata	Gemme	宝石	ត្បូង	ರತ್ನಗಳು	보석	ແກ້ວປະເສີດ	Dārgakmeņi	permata	Edelstenen	Klejnoty	Gemas	Драгоценные камни	อัญมณี	Taşlar	дорогоцінні камені	宝石	đá quý
unlock_widget_with	Unlock Widget with	فتح القطعة مع	Odemkněte widget pomocí	Widget entsperren mit	Ξεκλείδωμα γραφικού στοιχείου με	Desbloquear widget con	Ava vidin koos	Avaa widget kanssa	Débloquez le widget avec	के साथ विजेट अनलॉक करें	Buka kunci Widget dengan	Sblocca il widget con	ウィジェットのロックを解除するには	ដោះសោធាតុក្រាហ្វិកជាមួយ	ಇದರೊಂದಿಗೆ ವಿಜೆಟ್ ಅನ್ನು ಅನ್ಲಾಕ್ ಮಾಡಿ	다음으로 위젯 잠금 해제	ປົດລັອກ Widget ກັບ	Atbloķējiet logrīku ar	Buka kunci Widget dengan	Ontgrendel widget met	Odblokuj widget za pomocą	Desbloquear widget com	Разблокировать виджет с помощью	ปลดล็อควิดเจ็ตด้วย	Widget'ın kilidini şununla açın:	Розблокувати віджет за допомогою	解锁小部件	Mở khóa Widget bằng
unlock_wallpaper_with	Unlock Wallpaper with	فتح ورق الحائط مع	Odemknout tapetu pomocí	Schalte das Hintergrundbild mit frei	Ξεκλείδωμα ταπετσαρίας με	Desbloquear fondo de pantalla con	Avage taustpilt rakendusega	Avaa taustakuva	Débloquez le fond d'écran avec	इसके साथ वॉलपेपर अनलॉक करें	Buka kunci Wallpaper dengan	Sblocca lo sfondo con	壁紙のロックを解除するには	ដោះសោផ្ទាំងរូបភាពជាមួយ	ಇದರೊಂದಿಗೆ ವಾಲ್‌ಪೇಪರ್ ಅನ್ನು ಅನ್‌ಲಾಕ್ ಮಾಡಿ	다음으로 배경화면 잠금 해제	ປົດລັອກ Wallpaper ກັບ	Atbloķējiet fona attēlu ar	Buka kunci Kertas Dinding dengan	Ontgrendel achtergrond met	Odblokuj tapetę za pomocą	Desbloquear papel de parede com	Разблокировать обои с помощью	ปลดล็อควอลเปเปอร์ด้วย	Duvar Kağıdının Kilidini Aç	Розблокувати шпалери за допомогою	解锁壁纸	Mở khóa hình nền với
unlock_all_icon_with	Unlock All Icon with	فتح كل أيقونة مع	Odemknout všechny ikony pomocí	Schalte alle Symbole frei mit	Ξεκλειδώστε όλα το εικονίδιο με	Desbloquear todos los iconos con	Avage kõik ikoon rakendusega	Avaa kaikki kuvakkeet	Débloquez toutes les icônes avec	इसके साथ सभी आइकन को अनलॉक करें	Buka Kunci Semua Ikon dengan	Sblocca tutte le icone con	すべてのアイコンのロックを解除するには	ដោះសោរូបតំណាងទាំងអស់ដោយប្រើ	ಇದರೊಂದಿಗೆ ಎಲ್ಲಾ ಐಕಾನ್ ಅನ್ನು ಅನ್ಲಾಕ್ ಮಾಡಿ	모든 아이콘 잠금 해제	ປົດລັອກໄອຄອນທັງໝົດດ້ວຍ	Atbloķēt visu ikonu ar	Buka kunci Semua Ikon dengan	Ontgrendel alle pictogrammen met	Odblokuj wszystkie ikony za pomocą	Desbloquear todos os ícones com	Разблокировать все значки с помощью	ปลดล็อคไอคอนทั้งหมดด้วย	Tüm Simgelerin Kilidini Aç	Розблокувати всі значки за допомогою	解锁所有图标	Mở khóa tất cả biểu tượng với
unlock_icon_with	Unlock Icon with	فتح أيقونة مع	Odemknout ikonu pomocí	Entsperren Sie das Symbol mit	Ξεκλείδωμα εικονίδιο με	Desbloquear icono con	Avage ikoon rakendusega	Avaa kuvake	Déverrouiller l'icône avec	के साथ आइकन अनलॉक करें	Buka Kunci Ikon dengan	Sblocca l'icona con	アイコンのロックを解除する	ដោះសោរូបតំណាងជាមួយ	ಇದರೊಂದಿಗೆ ಅನ್‌ಲಾಕ್ ಐಕಾನ್	아이콘 잠금 해제	ປົດລັອກໄອຄອນດ້ວຍ	Atbloķēt ikonu ar	Buka kunci Ikon dengan	Ontgrendel icoon met	Odblokuj ikonę za pomocą	Desbloquear ícone com	Разблокировать значок с помощью	ปลดล็อคไอคอนด้วย	Simgenin kilidini aç	Значок розблокування за допомогою	解锁图标与	Biểu tượng mở khóa bằng
