Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
cancel	Cancel	يلغي	zrušení	Stornieren	Ματαίωση	Cancelar	Tühistama	Peruuttaa	Annuler	रद्द करना	Membatalkan	Annulla	キャンセル	លប់ចោល	ರದ್ದುಮಾಡು	취소	ຍົກເລີກ	Atcelt	Batalkan	Annuleren	Anulować	Cancelar	Отмена	ยกเลิก	İptal etmek	Скасувати	取消	Hủy bỏ
done	Done	منتهي	Hotovo	Erledigt	Εγινε	Hecho	Tehtud	Tehty	Fait	हो गया	Selesai	Fatto	終わり	រ្យេឱដេនោ	ಮುಗಿದ	완료	ແລ້ວ? ແລ້ວ	Darīts	Selesai	Klaar	Zrobione	Feito	Сделанный	เสร็จแล้ว	Tamamlamak	Зроблений	完毕	Xong
send	Send	يرسل	Poslat	Schicken	Στείλετε	Enviar	Saada	Lähettää	Envoyer	भेजना	Mengirim	Inviare	送信	ផ្ញើរ	ಕಳುಹಿಸು	보내다	ສົ່ງ	Nosūtīt	Hantar	Versturen	Wysłać	Enviar	Отправлять	ส่ง	Göndermek	Надсилати	发送	Gửi
ok	OK	نعم	OK	OK	Εντάξει	DE ACUERDO	Okei	Hyvä	D'ACCORD	ठीक है	OKE	OK	わかりました	យល់ព្រម	ಸರಿ	좋아요	ຕົກ​ລົງ	labi	okey	OK	OK	OK	ХОРОШО	ตกลง	TAMAM	в порядку	好的	Đồng ý
edit	Edit	يحرر	Upravit	Bearbeiten	Επεξεργασία	Editar	Redigeerima	Muokata	Modifier	संपादन करना	Edit	Modificare	編集	បិនិត្យ	ತಿದ್ದು	편집하다	ແກ້ໄຂ	Rediģēt	Edit	Bewerking	Edytować	Editar	Редактировать	แก้ไข	Düzenlemek	Редагувати	编辑	Chỉnh sửa
select	Select	يختار	Vybrat	Wählen	Επιλέγω	Seleccionar	Valima	Valita	Sélectionner	चुनना	Pilih	Selezionare	選択する	រេចីសរើស	ಆಯ್ಕೆ ಮಾಡಿ	선택하다	ເລືອກ	Atlasīt	Pilih	Uitkiezen	Wybierać	Selecione	Выбирать	เลือก	Seçme	Обраний	选择	Chọn
selected	Selected	المحدد	Vybraný	Ausgewählt	Επιλεγμένος	Seleccionado	Valitud	Valittu	Choisi	चयनित	Terpilih	Selezionato	選択	បានជ្រើស	ಆಯ್ದ	선택된	ຄັດເລືອກ	Atlasīts	Dipilih	Geselecteerd	Wybrany	Selecionado	Выбран	ที่เลือก	Seçilmiş	Обраний	选定	Đã chọn
delete	Delete	يمسح	Vymazat	Löschen	Διαγράφω	Borrar	Kustutama	Poistaa	Supprimer	मिटाना	Menghapus	Eliminare	消去	របៅបេលរសច	ಅಳಿಸು	삭제	ລົບ	Dzēst	Padam	Verwijderen	Usuwać	Excluir	Удалить	ลบ	Silmek	Видаляти	删除	Xóa
share	Share	يشارك	Podíl	Aktie	Μερίδιο	Compartir	Osakaal	Jaa	Partager	शेयर करना	Membagikan	Condividere	共有	ការរមលេក	ಹಂಚು	공유하다	ສ່ວນ	Akcija	Berkongsi	Deel	Udział	Compartilhar	Делиться	แบ่งปัน	Paylaşmak	Розподіляти	分享	Chia sẻ
completed	Completed!	مكتمل!	Dokončené!	Vollendet!	Ολοκληρώθηκε το!	¡Terminado!	Valmis!	Valmis!	Complété!	पुरा होना!	Lengkap!	Completato!	完成！	បានបញ្ចប់!	ಪೂರ್ಣಗೊಂಡಿದೆ!	완전한!	ສໍາເລັດ!	Pabeigts!	Selesai!	Voltooid!	Zakończony!	Concluído!	Завершенный!	สมบูรณ์!	Tamamlanmış!	Завершено!	完全的！	Hoàn thành!
error	Error!	خطأ!	Chyba!	Fehler!	Λάθος!	¡Error!	Viga!	Virhe!	Erreur!	गलती!	Kesalahan!	Errore!	エラー！	កំហុស!	ದೋಷ!	오류!	ຂໍ້ຜິດພາດ!	Kļūda!	Ralat!	Fout!	Błąd!	Erro!	Ошибка!	ข้อผิดพลาด!	Hata!	Помилка!	错误！	Lỗi!
search	Search	يبحث	Vyhledávání	Suchen	Αναζήτηση	Buscar	Otsing	Hae	Recherche	खोज	Mencari	Ricerca	検索	ការឆេកឆេ	ಹುಡುಕಿ Kannada	찾다	ຄົ້ນຫາ	Meklēt	Cari	Zoekopdracht	Szukaj	Procurar	Поиск	ค้นหา	Aramak	Обшук	搜索	Tìm kiếm
settings	Settings	إعدادات	Nastavení	Einstellungen	Ρυθμίσεις	Ajustes	Sätted	asetukset	Paramètres	समायोजन	Pengaturan	Impostazioni	設定	ការកំណត់	ಸಂಯೋಜನೆಗಳು	설정	ການກໍານົດ	Iestatījumi	Tetapan	Instellingen	Ustawienia	Configurações	Настройки	การตั้งค่า	Ayarlar	Налаштування	设置	Cài đặt
version	Version	إصدار	Verze	Ausführung	Εκδοχή	Versión	Versioon	Versio	Version	संस्करण	Versi: kapan	Versione	バージョン	កមបុរក្នា	ಆವೃತ್ತಿ	버전	ສະບັບ	Versija	Versi	Versie	Wersja	Versão	Версия	รุ่น	Versiyon	Версія	版本	Phiên bản
password	Password	كلمة المرور	Heslo	Passwort	Κωδικός πρόσβασης	Contraseña	Parool	Salasana	Mot de passe	पासवर्ड	Kata sandi	Parola d'ordine	パスワード	ហក្យសមងាត់	ಗುಪ್ತಪದ	비밀번호	ລະຫັດຜ່ານ	Parole	Kata laluan	Wachtwoord	Hasło	Senha	Пароль	รหัสผ่าน	Şifre	Пароль	密码	Mật khẩu
noResult	No results	لا نتائج	Žádné výsledky	Keine Ergebnisse	Χωρίς αποτέλεσμα	No hay resultados	Tulemused puuduvad	Ei tuloksia	Aucun résultat	कोई परिणाम नहीं	Tidak ada hasil	Nessun risultato	結果がありません	គ្មាន​លទ្ធផល	ಫಲಿತಾಂಶಗಳಿಲ್ಲ	결과가 없습니다	ບໍ່ມີຜົນໄດ້ຮັບ	Nav rezultātu	Tiada keputusan	Geen resultaten	Brak wyników	Sem resultados	Без результатов	ไม่มีผลลัพธ์	Sonuç yok	Немає результатів	没有结果	Không có kết quả
forString	for	ل	pro	für	Για	para	jaoks	puolesta	pour	के लिए	untuk	per	のために	សរមាប់	ಇದಕ್ಕೆ	~을 위한	ສໍາລັບ	priekš	untuk	voor	Do	para	для	สำหรับ	için	для	为了	cho
phone	Phone	هاتف	Telefon	Telefon	Τηλέφωνο	Teléfono	Telefon	Puhelin	Téléphone	फ़ोन	Telepon	Telefono	電話	ទូរស័ព្ទ	ದೂರವಾಣಿ	핸드폰	ໂທລະສັບ	Telefons	Telefon	Telefoon	Telefon	Telefone	Телефон	โทรศัพท์	Telefon	Телефон	电话	Điện thoại
other	Other	آخر	jiný	Andere	Αλλα	Otro	Teine	Muut	Autre	अन्य	Lainnya	Altro	他の	ផ្សេងទៀត	ಬೇರೆ	다른	ອື່ນ	Cits	Yang lain	Ander	Inny	Outro	Другой	อื่น	Diğer	Інший	其他	Khác
home	Home	بيت	Domov	Heim	Σπίτι	Hogar	Kodu	Koti	Maison	घर	Rumah	Casa	家	ផ្ទហ	ಮನೆ	집	ບ້ານ	Mājas	Rumah	Thuis	Dom	Lar	Дом	บ้าน	Ev	Домашній	家	Trang chủ
restorePurchase	Restore Purchase	استعادة شراء	Obnovit nákup	Kauf wiederherstellen	Επαναφορά αγοράς	Compra de restauración	Ostu taastamine	Palauta osto	Restaurer l'achat	पुनःस्थापन क्रय	Kembalikan pembelian	Ripristinare acquisto	購入商品を復元する	ស្តា​រ​ការ​ទិញ	ಖರೀದಿಯನ್ನು ಮರುಸ್ಥಾಪಿಸಿ	구매를 복원하십시오	ຟື້ນຟູການຊື້	Atjaunot pirkumu	Memulihkan pembelian	Herstel aankoop	Przywróć zakup	Restaurar compra	Восстановить покупку	กู้คืนการซื้อ	Satın Alma Geri Yükle	Відновити придбання	恢复购买	Khôi phục mua hàng
feedback	Feedback	تعليق	Zpětná vazba	Rückmeldung	Ανατροφοδότηση	Comentario	Tagasiside	Palaute	Retour	प्रतिक्रिया	Masukan	Feedback	フィードバック	មតិប្រតិកម្ម	ಪ್ರತಿಕ್ರಿಯೆ	피드백	ຄໍາຕິຊົມ	Atsauksmes	Maklum balas	Feedback	Informacja zwrotna	Opinião	Обратная связь	ข้อเสนอแนะ	Geri bildirim	Зворотний зв'язок	反馈	Phản hồi
shareApp	Share	يشارك	Podíl	Aktie	Μερίδιο	Compartir	Osakaal	Jaa	Partager	शेयर करना	Membagikan	Condividere	共有	ការរមលេក	ಹಂಚು	공유하다	ສ່ວນ	Akcija	Berkongsi	Deel	Udział	Compartilhar	Делиться	แบ่งปัน	Paylaşmak	Розподіляти	分享	Chia sẻ
rateAndReview	Rate ______ Review	مراجعة معدل	Sazba a recenze	Rate ______ Review	Βαθμολογία ______ κριτική	Revisión de tasas	Hindama ja ülevaade	Arviointi ja arviointi	Tarif et examen	दर और समीक्षा	Nilai ______ Ulasan	Tariffa e revisione	レートとレビュー	អត្រានិងការត្រួតពិនិត្យ	ದರ ಮತ್ತು ವಿಮರ್ಶೆ	속도 및 검토	ອັດຕາແລະການທົບທວນ	Likme un pārskats	Kadar ______ Kajian	Tarief ______ beoordeling	Stawka i przegląd	Taxa e revisão	Скорость и обзор	ให้คะแนนและทบทวน	Oran incelemesi	Цінність та огляд	费率和评论	Nhận xét ______ Đánh giá
term	Terms and Conditions	الأحكام والشروط	Pravidla a podmínky	Geschäftsbedingungen	Οροι και Προϋποθέσεις	Términos y condiciones	Tingimused	Käyttöehdot	Termes et conditions	नियम और शर्तें	syarat dan Ketentuan	Termini e Condizioni	利用規約	ល័ក្ខខ័ណ្ឌ	ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು	이용 약관	ຂໍ້ກໍານົດແລະເງື່ອນໄຂ	Noteikumi un nosacījumi	Terma dan syarat	Voorwaarden	Regulamin	Termos e Condições	Условия и положения	ข้อกำหนดและเงื่อนไข	Şartlar ve koşullar	Правила та умови	条款和条件	Các điều khoản và điều kiện
policy	Privacy Policy	سياسة الخصوصية	Zásady ochrany osobních údajů	Datenschutzrichtlinie	Πολιτική απορρήτου	política de privacidad	Privaatsuspoliitika	Tietosuojakäytäntö	politique de confidentialité	गोपनीयता नीति	Kebijakan pribadi	politica sulla riservatezza	プライバシーポリシー	គោលការណ៍​ភាព​ឯកជន	ಗೌಪ್ಯತಾ ನೀತಿ	개인 정보 정책	ນະໂຍບາຍຄວາມເປັນສ່ວນຕົວ	Privātuma politika	Dasar Privasi	Privacybeleid	Polityka prywatności	política de Privacidade	политика конфиденциальности	นโยบายความเป็นส่วนตัว	Gizlilik Politikası	Політика конфіденційності	隐私政策	Chính sách bảo mật
darkMode	Dark Mode	الوضع المظلم	Tmavý režim	Dunkler Modus	Σκούρα λειτουργία	Modo oscuro	Tume režiim	Tumma tila	Mode sombre	डार्क मोड	Mode gelap	Modalità scura	ダークモード	របៀបងងឹត	ಕತ್ತಲೆ ಕ್ರಮ	다크 모드	ຮູບແບບຊ້ໍາ	Tumšais režīms	Mod gelap	Donkere modus	Tryb ciemny	Modo escuro	Темный режим	โหมดมืด	Karanlık mod	Темний режим	黑暗模式	Chế độ tối
languages	Languages	اللغات	Jazyky	Sprachen	Γλώσσες	Lenguas	Keeled	Kieli (kielet	Langues	बोली	Bahasa	Le lingue	言語	បដា	ಭಾಷೆಗಳ	언어	ພາສາ	Valodas	Bahasa	Talen	Języki	línguas	Языки	ภาษา	Diller	Мови	语言	Ngôn ngữ
english	English	إنجليزي	Angličtina	Englisch	Αγγλικά	Inglés	Inglise	Englanti	Anglais	अंग्रेज़ी	Bahasa inggris	Inglese	英語	អាលេវីម	ಆಂಗ್ಲ	영어	ພາສາອັງກິດ	Angļu	Bahasa Inggeris	Engels	język angielski	Inglês	Английский	ภาษาอังกฤษ	İngilizce	Англійська мова	英语	Tiếng Anh
vietnamese	Vietnamese	الفيتنامي	vietnamština	Vietnamesisch	Βιετναμέζος	vietnamita	Vietnamlane	vietnam	vietnamien	वियतनामी	Orang Vietnam	vietnamita	ベトナム人	ជនជាតិវៀតណាម	ವಿಯೆಟ್ನಾಂ	베트남어	ໄທຍວນ	Vjetnamietis	Vietnam	Vietnamees	wietnamski	vietnamita	вьетнамский	เวียดนาม	Vietnam	В'єтнамський	越南人	Tiếng Việt
continueButton	Continue	يكمل	Pokračovat	Weitermachen	Να συνεχίσει	Continuar	Jätkuma	Jatkaa	Continuer	जारी रखना	Melanjutkan	Continua	続く	បន្ដ	ಮುಂದುವರಿಸು	계속하다	ດໍາເນີນຕໍ່ໄປ	Turpināt	Teruskan	Doorgaan	Kontynuować	Continuar	Продолжать	ดำเนินการต่อ	Devam etmek	Продовжувати	继续	Tiếp tục
success	success	نجاح	úspěch	Erfolg	επιτυχία	éxito	edu	menestys	succès	सफलता	kesuksesan	successo	成功	ចោកច័យ	ಯಶಸ್ಸು	성공	ຄວາມ​ສໍາ​ເລັດ	panākums	kejayaan	succes	powodzenie	sucesso	успех	ความสำเร็จ	başarı	успіх	成功	thành công
somethingWentWrong	Something went wrong!	هناك خطأ ما!	Něco se pokazilo!	Etwas ist schief gelaufen!	Κάτι πήγε στραβά!	¡Algo salió mal!	Midagi läks valesti!	Jotain meni pieleen!	Quelque chose s'est mal passé!	कुछ गलत हो गया!	Ada yang salah!	Qualcosa è andato storto!	何かがうまくいかなかった！	មាន​អ្វីមួយ​មិន​ប្រក្រតី!	ಏನೋ ತಪ್ಪಾಗಿದೆ!	뭔가 잘못되었습니다!	ມີບາງສິ່ງບາງຢ່າງຜິດພາດ!	Kaut kas nogāja greizi!	Ada yang tidak kena!	Er is iets fout gegaan!	Coś poszło nie tak!	Algo deu errado!	Что-то пошло не так!	บางอย่างผิดพลาด!	Bir şeyler yanlış gitti!	Щось пішло не так!	出了些问题！	Đã có lỗi xảy ra!
pleaseTryAgain	Please try again	حاول مرة اخرى	Prosím zkuste to znovu	Bitte versuche es erneut	ΠΑΡΑΚΑΛΩ προσπαθησε ξανα	Inténtalo de nuevo	Palun proovi uuesti	Yritä uudelleen	Veuillez réessayer	कृपया पुन: प्रयास करें	Silakan coba lagi	Per favore riprova	もう一度やり直してください	សូម​ព្យាយាម​ម្តង​ទៀត	ದಯವಿಟ್ಟು ಪುನಃ ಪ್ರಯತ್ನಿಸಿ	다시 시도하십시오	ກະລຸນາລອງໃຫມ່ອີກຄັ້ງ	Lūdzu mēģiniet vēlreiz	Sila cuba lagi	Probeer het opnieuw	Proszę spróbuj ponownie	Por favor, tente novamente	Пожалуйста, попробуйте еще раз	กรุณาลองอีกครั้ง	Lütfen tekrar deneyin	Будь ласка спробуйте ще раз	请再试一次	Vui lòng thử lại
Free	Free	حر	Volný, uvolnit	Frei	Ελεύθερος	Gratis	Vaba	Vapaa	Gratuit	मुक्त	Bebas	Gratuito	無料	ដេលមានសេរីផាប	ಸ್ವಾರಸ್ಯವಾದ	무료	ອິດສະລະ	Brīvs	Percuma	Vrij	Bezpłatny	Livre	Бесплатно	ฟรี	Özgür	Безкоштовний	自由的	Miễn phí
Premium	Premium	غالي	Pojistné	Prämie	Ασφάλιστρο	De primera calidad	Preemia	Palkkio	Prime	अधिमूल्य	Premium	Premium	プレミアム	បុព្វលាច	ಪ್ರಬಲ	프리미엄	ເບັ້ຽກັນ	Prēmija	Premium	Premie	Premia	Prêmio	Премиум	พรีเมี่ยม	Ödül	Премія	优质的	Cao cấp
Restore	Restore	يعيد	Obnovit	Wiederherstellen	Επαναφέρω	Restaurar	Taastama	Palauttaa	Restaurer	पुनर्स्थापित करना	Memulihkan	Ristabilire	復元する	ចយសចុល	ಪುನಃಸ್ಥಾಪಿಸು	복원하다	ຟື້ນຟູ	Atjaunot	Pulihkan	Herstellen	Przywrócić	Restaurar	Восстановить	คืนค่า	Eski haline getirmek	Відновлення	恢复	Khôi phục
Unlimited	Unlimited	غير محدود	Neomezený	Unbegrenzt	Απεριόριστος	Ilimitado	Piiramatu	Rajoittamaton	Illimité	असीमित	Tak terbatas	Illimitato	無制限	គ្មានដែនកំណត់	ಅನಿಯಮಿತ	제한 없는	ບໍ່ຈໍາກັດ	Neierobežots	Tidak terhad	Onbeperkt	Nieograniczony	Ilimitado	Неограниченный	ไม่ จำกัด	Sınırsız	Необмежений	无限	Vô hạn
Advertisements	Advertisements	الإعلانات	Reklamy	Anzeige	Διαφημίσεις	Anuncios	Reklaamid	Mainokset	Annonces	विज्ञापनों	Iklan	Annunci	広告	ការផ្សាយពាណិជ្ជកម្ម	ಜಾಹೀರಾತುಗಳು	광고	ການໂຄສະນາ	Sludinājumi	Iklan	Advertenties	Reklamy	Anúncios	Рекламные объявления	โฆษณา	Reklamlar	Реклама	广告	Quảng cáo
WelcomeBack	Welcome Back!	مرحبًا بعودتك!	Vítej zpět!	Willkommen zurück!	Καλως ορισες πισω!	¡Bienvenido de nuevo!	Tere tulemast tagasi!	Tervetuloa takaisin!	Content de te revoir!	वापसी पर स्वागत है!	Selamat Datang kembali!	Bentornato!	おかえり！	ស្វា​គម​ន៏​ការ​ត្រ​លប់​មក​វិញ!	ಮರಳಿ ಸ್ವಾಗತ!	다시 오신 것을 환영합니다!	ຍິນ​ດີ​ຕ້ອນ​ຮັບ​ກັບ!	Laipni lūdzam atpakaļ!	Selamat kembali!	Welkom terug!	Witamy spowrotem!	Bem vindo de volta!	Добро пожаловать!	ยินดีต้อนรับกลับ!	Tekrar hoşgeldiniz!	З поверненням!	欢迎回来！	Chào mừng trở lại!
letStart	Let's Start	لنبدأ	Začněme	Lasst uns beginnen	Ας αρχίσουμε	Empecemos	Alustame	Aloitetaan	Commençons	चलो शुरू करो	Ayo mulai	Iniziamo	はじめましょう	តោះ​ចាប់​ផ្ដើម	ಪ್ರಾರಂಭಿಸೋಣ	시작하자	ໃຫ້ເລີ່ມຕົ້ນ	Sāksim	Mari mulakan	Laten we beginnen	Zaczynajmy	Vamos começar	Давайте начнем	เริ่มกันเลย	Hadi başlayalım	Давайте розпочнемо	开始吧	Hãy bắt đầu
at	at	في	na	bei	στο	en	juures	at	à	पर	pada	A	で	ក្នុង	ಬಳಿಗೆ	~에	ທີ່	pie	pada	bij	Na	no	в	ที่	-den	в	在	lúc
enterLanguage	Enter your language	أدخل لغتك	Zadejte svůj jazyk	Geben Sie Ihre Sprache ein	Εισαγάγετε τη γλώσσα σας	Ingrese su idioma	Sisestage oma keel	Kirjoita kielesi	Entrez votre langue	अपनी भाषा दर्ज करें	Masukkan bahasa Anda	Inserisci la tua lingua	あなたの言語を入力してください	បញ្ចូលភាសារបស់អ្នក	ನಿಮ್ಮ ಭಾಷೆಯನ್ನು ನಮೂದಿಸಿ	언어를 입력하십시오	ກະລຸນາໃສ່ພາສາຂອງທ່ານ	Ievadiet savu valodu	Masukkan bahasa anda	Voer uw taal in	Wprowadź swój język	Digite seu idioma	Введите свой язык	ป้อนภาษาของคุณ	Dilinizi girin	Введіть свою мову	输入您的语言	Nhập ngôn ngữ của bạn
all	All	الجميع	Všechno	Alle	Ολα	Todo	Kõik	Kaikki	Tous	सभी	Semua	Tutto	全て	តាមងអស់	ಎಲ್ಲರೂ	모두	ທັງຫມົດ	Viss	Semua	Alle	Wszystko	Todos	Все	ทั้งหมด	Tüm	Все	全部	Tất cả
closeAll	Close all	أغلق كل شيء	Zavřete všechny	Alle schließen	Κλείσ'τα όλα	Cierra todo	Sulgege kõik	Sulje kaikki	Ferme tout	सब बंद करें	Tutup semua	Chiudi tutto	すべてを閉じます	បិទទាំងអស់	ಎಲ್ಲವನ್ನು ಮುಚ್ಚಿ	모두 닫으십시오	ປິດທັງຫມົດ	Aizvērt visu	Tutup semua	Sluit alles	Zamknij wszystko	Feche tudo	Закрыть все	ปิดทั้งหมด	Hepsini kapat	Закрити все	关闭所有	Đóng tất cả
download	Download	تحميل	Stažení	Herunterladen	Κατεβάστε	Descargar	Lae alla	ladata	Télécharger	डाउनलोड करना	Unduh	Scaricamento	ダウンロード	របចាបរេកា	ಡೌನ್‌ಲೋಡ್	다운로드	ດາວໂຫລດ	Lejupielādēt	Muat turun	Downloaden	Pobierać	Download	Скачать	การดาวน์โหลด	İndirmek	Завантажувати	下载	Tải xuống
loadingMore	Loading more	تحميل المزيد	Načítání více	Mehr laden	Φόρτωση περισσότερων	Cargando más	Laadige rohkem	Lataamalla enemmän	Chargement plus	अधिक लोड हो रहा है	Memuat lebih banyak	Caricamento di più	もっと読み込みます	កំពុងផ្ទុកកាន់តែច្រើន	ಹೆಚ್ಚು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ	더 많이로드	ກໍາລັງໂຫລດເພີ່ມເຕີມ	Iekraušana vairāk	Memuat lebih banyak	Meer laden	Ładowanie więcej	Carregando mais	Загрузка больше	กำลังโหลดมากขึ้น	Daha fazla yükleme	Завантаження більше	加载更多	Tải thêm
noMoreData	No more data!	لا مزيد من البيانات!	Žádné další data!	Keine Daten mehr!	Δεν υπάρχουν άλλα δεδομένα!	¡No más datos!	Enam pole andmeid!	Ei enää tietoja!	Plus de données!	कोई और डेटा नहीं!	Tidak ada lagi data!	Niente più dati!	これ以上のデータはありません！	គ្មានទិន្នន័យទៀតទេ!	ಹೆಚ್ಚಿನ ಡೇಟಾ ಇಲ್ಲ!	더 이상 데이터가 없습니다!	ບໍ່ມີຂໍ້ມູນອີກຕໍ່ໄປ!	Vairs nav datu!	Tiada lagi data!	Geen gegevens meer!	Brak danych!	Não há mais dados!	Нет больше данных!	ไม่มีข้อมูลเพิ่มเติม!	Artık veri yok!	Більше немає даних!	没有更多数据！	Đã hết dữ liệu!
loading	Loading ...	تحميل ...	Načítání ...	Wird geladen ...	Φόρτωση ...	Cargando ...	Laadimine ...	Ladataan ...	Chargement ...	लोड हो रहा है ...	Memuat ...	Caricamento ...	読み込み...	កំពុងផ្ទុក ...	ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ ...	로딩 ...	ກໍາລັງໂຫລດ ...	Iekraušana ...	Memuatkan ...	Bezig met laden ...	Ładowanie ...	Carregando ...	Загрузка ...	กำลังโหลด ...	Yükleniyor ...	Завантаження ...	加载中 ...	Đang tải ...
unknown	Unknown	مجهول	Neznámý	Unbekannt	Αγνωστος	Desconocido	Teadmata	Tuntematon	Inconnu	अज्ञात	Tidak dikenal	Sconosciuto	未知	ដេលមិនស្គាល់	ಅಜ್ಞಾತ	알려지지 않은	ບໍ່ຮູ້	Nezināms	Tidak diketahui	Onbekend	Nieznany	Desconhecido	Неизвестный	ไม่รู้จัก	Bilinmeyen	Невідомий	未知	không xác định
noInternetMessage	Unable to connect to the server. Check your connection and try again.	غير قادر على الاتصال بالخادم. تحقق من اتصالك وحاول مرة أخرى.	Nelze se připojit k serveru. Zkontrolujte své připojení a zkuste to znovu.	Ich kann keine Verbindung zum Server herstellen. Überprüfen Sie Ihre Verbindung und versuchen Sie es erneut.	Δεν είναι δυνατή η σύνδεση στον διακομιστή. Ελέγξτε τη σύνδεσή σας και δοκιμάστε ξανά.	No es posible conectarse al servidor. Revise su conexión y vuelva a intentarlo.	Ei saa serveriga ühendust luua. Kontrollige oma ühendust ja proovige uuesti.	Ei voi muodostaa yhteyttä palvelimeen. Tarkista yhteys ja yritä uudelleen.	Impossible de se connecter au serveur. Vérifiez votre connexion et réessayez.	सर्वर से कनेक्ट करने में अक्षम। अपने कनेक्शन की जाँच करें और फिर से प्रयास करें।	Tidak dapat terhubung ke server. Periksa koneksi Anda dan coba lagi.	Impossibile connettersi al server. Controlla la tua connessione e riprova.	サーバーに接続できません。接続を確認して、再試行してください。	មិនអាចភ្ជាប់ទៅម៉ាស៊ីនមេបានទេ។ ពិនិត្យមើលការភ្ជាប់របស់អ្នកហើយព្យាយាមម្តងទៀត។	ಸರ್ವರ್‌ಗೆ ಸಂಪರ್ಕಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ನಿಮ್ಮ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.	서버에 연결할 수 없습니다. 연결을 확인하고 다시 시도하십시오.	ບໍ່ສາມາດເຊື່ອມຕໍ່ກັບເຊີບເວີໄດ້. ກວດເບິ່ງການເຊື່ອມຕໍ່ຂອງທ່ານແລະລອງໃຫມ່ອີກຄັ້ງ.	Nevar izveidot savienojumu ar serveri. Pārbaudiet savu savienojumu un mēģiniet vēlreiz.	Tidak dapat menyambung ke pelayan. Periksa sambungan anda dan cuba lagi.	Kan niet verbinden met de server. Controleer uw verbinding en probeer het opnieuw.	Nie można połączyć się z serwerem. Sprawdź swoje połączenie i spróbuj ponownie.	Não é possível conectar ao servidor. Verifique sua conexão e tente novamente.	Невозможно подключиться к серверу. Проверьте свое соединение и попробуйте еще раз.	ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้ ตรวจสอบการเชื่อมต่อของคุณและลองอีกครั้ง	Sunucuya bağlanılamıyor. Bağlantınızı kontrol edin ve tekrar deneyin.	Неможливо підключитися до сервера. Перевірте своє з'єднання та повторіть спробу.	无法连接到服务器。检查您的连接，然后重试。	Không thể kết nối đến máy chủ. Kiểm tra kết nối của bạn và thử lại.
retry	Retry	إعادة المحاولة	Opakovat	Wiederholen	Ξαναδοκιμάσετε	Rever	Uuesti proovima	Tehdä uudelleen	Recommencez	पुन: प्रयास करें	Mencoba kembali	Riprovare	リトライ	ាប់រេគ្រប់យ៉ាងបី	ಮರುಪ್ರಯತ್ನಿಸಿ	다시 해 보다	ລອງໃຫມ່	Atkārtot	Cuba semula	Opnieuw proberen	Spróbować ponownie	Tente novamente	Повторно	ลองอีกครั้ง	Yeniden yapmak	Повторити	重试	Thử lại
acceptCookie	Accept	يقبل	Akceptovat	Akzeptieren	Αποδέχομαι	Aceptar	Aktsepteerima	Hyväksyä	Accepter	स्वीकार करना	Menerima	Accettare	受け入れる	តតយល	ಒಪ್ಪಿಕೊಳ್ಳಿ	수용하다	ຍອມ​ຮັບ	Pieņemt	Menerima	Aanvaarden	Zaakceptować	Aceitar	Принимать	ยอมรับ	Kabul etmek	Приймати	接受	Chấp nhận
