Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)	Vietnamese (vi)
rejectCookie	Decline	انخفاض	Pokles	Abfall	Πτώση	Rechazar	Langus	Heikkeneminen	Déclin	गिरावट	Menolak	Declino	衰退	ការបដិសេធ	ಕ್ಷೀಣತೆ	감소	ຮ່ວງໂຮຍ	Pasliktināšanās	Penurunan	Afwijzen	Spadek	Declínio	Отклонить	ปฏิเสธ	Reddetmek	Зниження	衰退	Từ chối
arabic	Arabic	عربي	arabština	Arabisch	αραβικός	Arábica	Araabia	arabialainen	arabe	अरबी	Arab	Arabo	アラビア語	អារ៉ាប់	ಅರೇಬಿಕ್	아라비아 말	ພາສາອາຣັບ	Arābu	Arab	Arabisch	arabski	árabe	арабский	ภาษาอาหรับ	Arapça	Арабський	阿拉伯	tiếng Ả Rập
ukrainian	Ukrainian	الأوكرانية	ukrajinština	ukrainisch	Ουκρανός	ucranio	Ukraina	Ukrainalainen	ukrainien	यूक्रेनी	Orang Ukraina	ucraino	ウクライナ人	ជនជាតិអ៊ុយក្រែន	ಯುಕೆರಿನ	우크라이나 인	ອູແກຣນ	Ukraiņu	Ukraine	Oekraïens	ukraiński	ucraniano	украинец	ชาวยูเครน	Ukrayna	Український	乌克兰	Tiếng Ukraine
turkish	Turkish	اللغة التركية	turečtina	Türkisch	τούρκικος	turco	Türgi	Turkkilainen	turc	तुर्की	Turki	Turco	トルコ語	ទួរគី	ಟರ್ಕಿಯ	터키	ພາສາຕຸລະກີ	Turku	Turki	Turks	turecki	turco	турецкий	ตุรกี	Türkçe	Турецький	土耳其	Tiếng Thổ Nhĩ Kỳ
thai	Thai	التايلاندية	Thai	Thai	Ταϊλάνδης	tailandés	Tai	Thaimaalainen	thaïlandais	थाई	Thai	tailandese	タイ	ថៃ	ದರ್ಜೆ	태국	ຄົນໄທ	Taizemiete	Thai	Thais	tajski	tailandês	Тайский	แบบไทย	Tayland	Тайський	泰国	Tiếng Thái
spanish	Spanish	الأسبانية	španělština	Spanisch	Ισπανικά	Español	Hispaania keel	Espanja	Espagnol	स्पैनिश	Orang Spanyol	spagnolo	スペイン語	អេស្ប៉ាញ	ಸ್ಪೋರ್ಯ	스페인의	ສະເປນ	Spāņu valoda	Sepanyol	Spaans	hiszpański	Espanhol	испанский	ภาษาสเปน	İspanyol	Іспанська мова	西班牙语	Tiếng Tây Ban Nha
russian	Russian	الروسية	ruština	Russisch	Ρωσική	ruso	Vene	Venäjän kieli	russe	रूसी	Rusia	russo	ロシア	រុស្ស៊ី	ರಷ್ಯಾದ	러시아인	ພາສາລັດເຊຍ	Krievs	Rusia	Russisch	Rosyjski	russo	Русский	ชาวรัสเซีย	Rusça	російський	俄语	tiếng Nga
portuguese	Portuguese	البرتغالية	portugalština	Portugiesisch	Πορτογαλικά	portugués	Portugali keel	Portugalin kieli	Portugais	पुर्तगाली	Portugis	portoghese	ポルトガル語	ព័រទុយហ្កាល់	ಪೋರ್ಚುಗೀಸ್	포르투갈 인	ປອກຕຸຍການ	Portugāļu valoda	Portugis	Portugees	portugalski	Português	португальский	ชาวโปรตุเกส	Portekizce	Португальський	葡萄牙语	Tiếng Bồ Đào Nha
polish	Polish	تلميع	polština	Polieren	Στίλβωση	Polaco	Poola	Kiillottaa	polonais	पोलिश	Polandia	Polacco	研磨	ធេវីអាេយរលោង	ಹೊಳಪು ಕೊಡು	광택	ໂປໂລຍ	Pulēt	Menggilap	Pools	Polski	polonês	Лак	ขัด	Lehçe	Польський	抛光	Tiếng Ba Lan
latvian	Latvian	لاتفيا	lotyšský	lettisch	Λετονική	letón	Läti	Latvialainen	letton	लात्वीयावासी	Latvia	lettone	ラトビアン	ឡាតវីយ៉ា	ಲಾಟ್ವಿಯದ	라트비아 사람	ລັດເວຍ	Latviešu	Latvian	Letland	łotewski	letão	Латышский	เกี่ยวกับลัตเวีย	Letonyalı	Латвійський	拉脱维亚	Tiếng Latvia
lao	Lao	لاو	Lao	Lao	Λάος	Lao	Lao	Lao	Lao	लाओ	Lao	Lao	ラオス	ឡាវ	ಲಾವನ	라오	ພາສາລາວ	Lao	Lao	Lao	Lao	Laos	Лаос	ลาว	Lao	Лао	老挝	Tiếng Lào
malay	Malay	لغة الملايو	Malay	malaiisch	Μαλαισία	malayo	Malai	Malaijilainen	malais	मलायी	Melayu	malese	マレー	ម៉ាឡេ	ಮಲಯ	말레이 사람	ມາເລ	Malajiešu valoda	Melayu	Maleis	malajski	malaio	малайский	มลายู	Malay	Малайський	马来语	Tiếng Mã lai
korean	Korean	الكورية	korejština	Koreanisch	κορεάτης	coreano	Korea	Korealainen	coréen	कोरियाई	Korea	coreano	韓国語	កូរ៉េ	ಕೊರಿಯಾದ	한국인	ເກົາຫຼີ	Korejiešu	Korea	Koreaans	koreański	coreano	Корейский	เกาหลี	Koreli	Корейський	韩国人	Tiếng Hàn Quốc
khmer	Khmer	الخمير	Khmer	Khmer	Χμερ	Jemer	Khme	Khmer	Khmer	खमेर	Khmer	Khmer	クメール	ខ្មែរ	ಖಮೇರ್	크메르	ໄທຣາ	Khmers	Khmer	Khmer	Khmer	Khmer	Кхмер	เขมรตัว	Khmer	Кхмер	高棉	Tiếng Khmer
kannada	Kannada	الكانادا	Kannada	Kannada	Κανάντα	Kannada	Kannada	Kannada	Kannada	कन्नडा	Kannada	Kannada	カンナダ	Kannada	ಕನ್ನಡಿ	칸나다어	Kannada	Kannāda	Kannada	Kannada	Kannada	Kannada	Каннада	ภาษากันนาดา	Kannada	Канада	卡纳达语	Tiếng Kannada
japanese	Japanese	اليابانية	japonský	japanisch	Ιαπωνικά	japonés	Jaapani keel	japanilainen	Japonais	जापानी	Jepang	giapponese	日本語	ជនជាតិជប៉ុន	ಜಪಾನೀಸ್	일본어	ຍີ່ປຸ່ນ	Japānis	Jepun	Japans	język japoński	japonês	Японский	ญี่ปุ่น	Japonca	Японський	日本人	Tiếng Nhật
italian	Italian	إيطالي	italština	Italienisch	ιταλικός	italiano	Itaallane	italialainen	italien	इतालवी	Italia	Italiano	イタリアの	អ៊ីតាលី	ಇಟಲಿಯ	이탈리아 사람	ອິຕາລຽນ	Itālietis	Bahasa Itali	Italiaans	Włoski	italiano	Итальянский	อิตาลี	İtalyan	Італійський	意大利人	Tiếng Ý
indonesian	Indonesian	إندونيسي	indonéština	Indonesisch	Ινδονησιακός	indonesio	Indoneesia	Indonesialainen	indonésien	इन्डोनेशियाई	bahasa Indonesia	indonesiano	インドネシア語	ឥណ្ឌូនេស៊ី	ಇಂಡೋನೀಷಿಯ	인도네시아 인	ອິນໂດເນເຊຍ	Indonēzietis	Indonesia	Indonesisch	indonezyjski	indonésio	индонезийский	ชาวอินโดนีเซีย	Endonezyalı	Індонезійський	印度尼西亚	Tiếng Indonesia
hindi	Hindi	الهندية	hindština	Hindi	Χίντι	hindi	Hindi keel	Hindi	hindi	हिंदी	Hindi	hindi	ヒンディー語	ហិណ្ឌូ	ಹಿಂದಿ	힌디 어	ຮິນດູ	Hindu valoda	Hindi	Hindi	hinduski	hindi	хинди	ภาษาฮินดี	Hintçe	Хінді	印地语	Tiếng Hindi
greek	Greek	اليونانية	řecký	griechisch	Ελληνικά	Griego	Kreeka keel	Kreikka	grec	यूनानी	Orang yunani	greco	ギリシャ語	ក្រិក	ಗ್ರೀಕ್	그리스 어	ກເຣັກ	Grieķu valoda	Greek	Grieks	grecki	grego	Греческий	กรีก	Yunan	Грецький	希腊语	Tiếng Hy Lạp
german	German	ألمانية	Němec	Deutsch	Γερμανός	Alemán	Sakslane	Saksan kieli	Allemand	जर्मन	Jerman	Tedesco	ドイツ人	អាឡឺម៉ង់	ಜರ್ಮನ್ ಭಾಷೆಯ	독일 사람	ເຢຍລະມັນ	Vācu valoda	Jerman	Duits	Niemiecki	Alemão	Немецкий	ชาวเยอรมัน	Almanca	Німецький	德语	tiếng Đức
french	French	فرنسي	francouzština	Französisch	γαλλική γλώσσα	Francés	Prantsuse	Ranskan kieli	Français	फ्रांसीसी	Perancis	francese	フランス語	បារាំង	ಫ್ರೆಂಚ್	프랑스 국민	ຝຣັ່ງ	Franču valoda	Perancis	Frans	Francuski	Francês	Французский	ภาษาฝรั่งเศส	Fransızca	Французький	法语	Tiếng Pháp
finnish	Finnish	الفنلندية	Finštinu	finnisch	φινλανδικός	finlandés	Soomlane	Suomalainen	finlandais	फिनिश	Finlandia	finlandese	フィンランド語	ហ្វាំងឡង់	ಲೋಕದ	핀란드	ແຟງລັງ	Somu	Finland	Fins	fiński	finlandês	Финский	ภาษาฟินแลนด์	Fince	Фінський	芬兰	Tiếng Phần Lan
estonian	Estonian	الإستونية	estonština	estnisch	Εσθονικός	Estonio	Eestonian	Virolainen	estonien	एस्तोनियावासी	Estonia	Estone	エストニアン	អេស្តូនី	ಎಸ್ಟೋನದ	에스토니아 사람	estonian	Igauņu	Estonia	Estlands	estoński	estoniano	эстонский	เอสโตเนีย	Estonya	Естонський	爱沙尼亚人	Tiếng Estonia
dutch	Dutch	هولندي	holandský	Niederländisch	Ολλανδός	Holandés	Hollandlane	Hollannin kieli	Néerlandais	डच	Belanda	Olandese	オランダの	ហូឡង់	ಡಚ್ಚರ	네덜란드 사람	ໂຮນລັງ	Holandieši	Belanda	Nederlands	Holenderski	Holandês	Голландский	ชาวดัตช์	Flemenkçe	Голландський	荷兰	Tiếng Hà Lan
czech	Czech	التشيكية	čeština	Tschechisch	Τσέχος	checo	Tšehhi	Tšekin	tchèque	चेक	Ceko	ceco	チェコ	ឆែក	ಜೆಕ್	체코 사람	ເຊັກ	Čehu valoda	Czech	Tsjechisch	Czech	Tcheco	Чешский	ภาษาเช็ก	Çek	Чеський	捷克	Tiếng Séc
chinese	Chinese	صينى	čínština	Chinesisch	κινέζικα	Chino	Hiinlane	Kiinalainen	Chinois	चीनी	Cina	Cinese	中国語	ចិន	ಚೀನಾದ	중국인	ຈີນ	Ķīnietis	Cina	Chinese	chiński	chinês	Китайский	ชาวจีน	Çince	Китайський	中国人	Tiếng Trung Quốc
txt_rate	Rate	معدل	Hodnotit	Rate	Τιμή	Tasa	Hinda	Rate	Taux	दर	Kecepatan	Valutare	レート	អត្រា	ದರ	비율	ອັດຕາ	Likme	Kadar	Tarief	Wskaźnik	Avaliar	Ставка	ประเมิน	Oran	Оцінка	速度	Tỷ lệ
txt_give_5_stars	Give us 5 stars!	أعطنا 5 نجوم!	Dejte nám 5 hvězdiček!	Gib uns 5 Sterne!	Δώστε μας 5 αστέρια!	¡Danos 5 estrellas!	Andke meile 5 tärni!	Anna meille 5 tähteä!	Donnez-nous 5 étoiles!	हमें 5 सितारे दें!	Beri kami 5 bintang!	Dacci 5 stelle!	5つ星をください！	ផ្តល់ឱ្យយើងនូវផ្កាយចំនួន 5!	ನಮಗೆ 5 ನಕ್ಷತ್ರಗಳನ್ನು ನೀಡಿ!	별 5 개를주세요!	ໃຫ້ 5 ດາວ!	Dodiet mums 5 zvaigznes!	Beri kami 5 bintang!	Geef ons 5 sterren!	Daj nam 5 gwiazdek!	Dê -nos 5 estrelas!	Дай нам 5 звезд!	ให้เรา 5 ดาว!	Bize 5 yıldız ver!	Дайте нам 5 зірок!	给我们5星！	Cho chúng tôi 5 sao!
txt_no_thanks	No, thanks	ًلا شكرا	Ne, díky	Nein danke	Οχι ευχαριστώ	No, gracias	Ei aitäh	Ei kiitos	Non merci	जी नहीं, धन्यवाद	Tidak, terima kasih	No grazie	結構です	អត់អី​ទេ​អរគុណ​ហើយ	ಬೇಡ ಧನ್ಯವಾದಗಳು	고맙지 만 사양 할게	ບໍ່​ຂອບ​ໃຈ	Nē paldies	Tidak, Terima kasih	Nee bedankt	Nie, dziękuję	Não, obrigado	Нет, спасибо	ไม่เป็นไรขอบคุณ	Hayır, teşekkürler	Ні, дякую	不，谢谢	Không, cám ơn
selectLanguage	Select Language	اختار اللغة	Zvolte jazyk	Sprache auswählen	Επιλέξτε γλώσσα	Seleccione el idioma	Vali keel	Valitse kieli	Choisir la langue	भाषा चुने	Pilih bahasa	Seleziona la lingua	言語を選択する	ជ្រើសរើស ភាសា	ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ	언어를 선택하십시오	ເລືອກພາສາ	Izvēlēties valodu	Pilih Bahasa	Selecteer taal	Wybierz język	Selecione o idioma	Выберите язык	เลือกภาษา	Dil Seçin	Оберіть мову	选择语言	Chọn ngôn ngữ
enterContents	Enter contents...	أدخل المحتويات ...	Zadejte obsah ...	Inhalt eingeben ...	Εισαγάγετε περιεχόμενα ...	Ingrese el contenido ...	Sisestage sisu ...	Syötä sisältö ...	Entrez le contenu ...	सामग्री दर्ज करें ...	Masukkan isi ...	Inserisci il contenuto ...	内容を入力してください...	បញ្ចូលមាតិកា ...	ವಿಷಯಗಳನ್ನು ನಮೂದಿಸಿ ...	내용을 입력하십시오 ...	ກະລຸນາໃສ່ເນື້ອໃນ ...	Ievadiet saturu ...	Masukkan kandungan ...	Voer de inhoud in ...	Wprowadź zawartość ...	Insira o conteúdo ...	Введите содержимое ...	ป้อนเนื้อหา ...	İçeriği girin ...	Введіть вміст ...	输入内容...	Nhập nội dung ...
beautiful	Beautiful	جميل	Krásná	Schön	Πανεμορφη	Hermoso	ilus	Kaunis	Beau	सुंदर	Cantik	Bellissimo	美しい	ស្អាត	ಸುಂದರ	아름다운	ງາມ	Skaists	Cantik	Mooi	Piękny	Lindo	Красивый	สวย	Güzel	Гарний	美丽的	Xinh đẹp
school	School	مدرسة	Škola	Schule	Σχολείο	Escuela	Kool	Koulu	École	विद्यालय	Sekolah	Scuola	学校	សាលា	ಶಾಲೆ	학교	ໂຮງຮຽນ	Skola	Sekolah	School	Szkoła	Escola	Школа	โรงเรียน	Okul	Школа	学校	Trường học
fishNet	Fishnet	شبكة صيد السمك	Rybí síť	Fischnetz	Διχτυωτό	red de pesca	Võrk	Verkko	Résille	मछली का जाल	Langgai	Rete	網タイツ	សំណាញ់ត្រី	ಫಿಶ್ನೆಟ್	망사	ຕາປາ	Zivju tīkls	Jala ikan	Visnet	Siatka	Rede de pesca	Ажурная сеть	แหอวน	Balık ağı	ажурні	鱼网	Lưới cá
nailPolish	Nail Polish	طلاء الأظافر	Lak na nehty	Nagelpolitur	Βερνίκι νυχιών	Esmalte de uñas	Küünelakk	Kynsilakka	Vernis à ongle	नेल पॉलिश	Cat kuku	Smalto per unghie	マニキュア	ខាត់​ក្រចក	ಉಗುರು ಬಣ್ಣ	매니큐어	ຢາ​ທາ​ເລັບ	Nagu laka	Pengilat kuku	Nagellak	Lakier do paznokci	Esmalte	Лак для ногтей	ยาทาเล็บ	Tırnak cilası	Лак	指甲油	Làm móng
athletic	Athletic	رياضي	Atletický	Sportlich	Αθλητικός	Atlético	Sportlik	Atleettinen	Athlétique	पुष्ट	Atletis	Atletico	アスレチック	អត្តពលិក	ಅಥ್ಲೆಟಿಕ್	운동	ນັກກິລາ	Atlētisks	Athletic	Atletisch	Atletyczny	Atlético	Спортивное	เกี่ยวกับกีฬา	Atletik	Спортивний	运动型	Khỏe mạnh
trending	Trending	الشائع	Trendy	Im Trend	Τάσεις	Tendencias	Trendikas	Trendaavat	Tendance	रुझान	Sedang tren	Tendenza	トレンド	និន្នាការ	ಟ್ರೆಂಡಿಂಗ್	인기 급상승	ແນວໂນ້ມ	Tendences	Trending	Populair	Trendy	Tendendo	Тенденции	กำลังมาแรง	Trend olan	В тренді	流行趋势	Xu hướng
signInWithGoogle	Sign in with Google	الدخول مع جوجل	Přihlaste se pomocí Google	Anmeldung mit Google	Συνδεθείτε με το Google	Inicia sesión con Google	Logige sisse Google'iga	Kirjaudu sisään Googlella	Connectez-vous avec Google	Google से साइन इन करें	Masuk dengan Google	Accedi con Google	Googleでサインイン	ចូលជាមួយ Google	Google ನೊಂದಿಗೆ ಸೈನ್ ಇನ್ ಮಾಡಿ	Google로 로그인	ເຂົ້າສູ່ລະບົບດ້ວຍ Google	Pierakstieties ar Google	Log masuk dengan Google	Log in met Google	Zaloguj się za pomocą Google	Faça login no Google	Войти через Google	ลงชื่อเข้าใช้งานด้วย Google	Google ile giriş yap	Увійдіть за допомогою Google	使用 Google 登录	Đăng nhập bằng Google
appName	Feet Photos	صور القدمين	Fotografie nohou	Fußfotos	Φωτογραφίες ποδιών	Fotos de Pies	Jalade fotod	Jalkojen valokuvat	Pieds Photos	पैरों की तस्वीरें	Foto Kaki	Foto dei piedi	足の写真	រូបថតជើង	ಅಡಿ ಫೋಟೋಗಳು	피트 사진	ຮູບພາບຕີນ	Pēdu fotogrāfijas	Foto Kaki	Voeten foto's	Zdjęcia stóp	Pés Fotos	Фото ног	ภาพถ่ายเท้า	Ayak Fotoğrafları	Фотографії ніг	脚照片	Hình ảnh bàn chân
loginTo	Log in to	تسجيل الدخول إلى	Přihlásit se do	Einloggen in	Συνδεθείτε στο	Iniciar sesión en	Logi sisse	Kirjaudu sisään	Se connecter à	में प्रवेश करें	Masuk ke	Accedere	にログインします	ចូល​ទៅ​ក្នុង	ಗೆ ಲಾಗ್ ಇನ್ ಮಾಡಿ	로그인	ເຂົ້າສູ່ລະບົບ	Piesakieties	Log masuk ke	Inloggen	Zaloguj się do	Logar em	Авторизоваться	เข้าสู่ระบบไปที่	Giriş	Увійти в	登录到	Đăng nhập vào
loginPopupTitle	Get the full app experience	احصل على تجربة التطبيق الكاملة	Získejte plný zážitek z aplikace	Holen Sie sich das volle App-Erlebnis	Αποκτήστε την πλήρη εμπειρία εφαρμογής	Obtén la experiencia completa de la aplicación	Hankige rakenduse täielik kasutuskogemus	Hanki täysi sovelluskokemus	Bénéficiez de l'expérience complète de l'application	संपूर्ण ऐप अनुभव प्राप्त करें	Dapatkan pengalaman aplikasi lengkap	Ottieni l'esperienza completa dell'app	完全なアプリ体験を得る	ទទួលបានបទពិសោធន៍កម្មវិធីពេញលេញ	ಸಂಪೂರ್ಣ ಅಪ್ಲಿಕೇಶನ್ ಅನುಭವವನ್ನು ಪಡೆಯಿರಿ	완전한 앱 경험을 얻으세요	ຮັບປະສົບການແອັບເຕັມ	Iegūstiet pilnu lietotnes pieredzi	Dapatkan pengalaman aplikasi penuh	Krijg de volledige app-ervaring	Uzyskaj pełne możliwości aplikacji	Obtenha a experiência completa do aplicativo	Получите все возможности приложения	สัมผัสประสบการณ์การใช้งานแอปเต็มรูปแบบ	Tam uygulama deneyimini yaşayın	Отримайте всі можливості програми	获得完整的应用程序体验	Tận hưởng trải nghiệm ứng dụng đầy đủ
loginPopupMessage	Enjoy more feet photos and upload photo on the app	استمتع بمزيد من صور القدمين وقم بتحميل الصورة على التطبيق	Užijte si více fotek nohou a nahrajte fotku do aplikace	Genießen Sie weitere Fußfotos und laden Sie Fotos in die App hoch	Απολαύστε περισσότερες φωτογραφίες ποδιών και ανεβάστε φωτογραφία στην εφαρμογή	Disfruta de más fotos de pies y sube fotos en la aplicación.	Nautige rohkem jalgade fotosid ja laadige fotod rakendusse üles	Nauti enemmän jalkakuvista ja lataa valokuva sovellukseen	Profitez de plus de photos de pieds et téléchargez une photo sur l'application	अधिक पैरों की तस्वीरों का आनंद लें और ऐप पर फोटो अपलोड करें	Nikmati lebih banyak foto kaki dan unggah foto di aplikasi	Goditi più foto dei piedi e carica foto sull'app	もっと足の写真を楽しんで、アプリに写真をアップロードしてください	រីករាយជាមួយរូបថតជើងកាន់តែច្រើន ហើយបង្ហោះរូបថតនៅលើកម្មវិធី	ಹೆಚ್ಚಿನ ಅಡಿ ಫೋಟೋಗಳನ್ನು ಆನಂದಿಸಿ ಮತ್ತು ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಫೋಟೋವನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡಿ	더 많은 발 사진을 즐기고 앱에 사진을 업로드하세요.	ເພີດເພີນໄປກັບຮູບຕີນຫຼາຍຂຶ້ນ ແລະອັບໂຫຼດຮູບໃນແອັບ	Izbaudiet vairāk pēdu fotoattēlu un augšupielādējiet fotoattēlu lietotnē	Nikmati lebih banyak foto kaki dan muat naik foto pada apl	Geniet van meer voetfoto's en upload een foto naar de app	Ciesz się większą liczbą zdjęć stóp i przesyłaj je w aplikacji	Aproveite mais fotos de pés e faça upload de fotos no aplicativo	Наслаждайтесь другими фотографиями ног и загружайте их в приложение.	เพลิดเพลินกับรูปถ่ายเท้าเพิ่มเติมและอัปโหลดรูปภาพบนแอป	Daha fazla ayak fotoğrafının keyfini çıkarın ve uygulamaya fotoğraf yükleyin	Насолоджуйтеся фотографіями ніг і завантажуйте фото в додаток	欣赏更多脚部照片并在应用程序上上传照片	Thưởng thức thêm ảnh chân và có thể đăng tải ảnh lên ứng dụng
loginNoticeMessage	By continuing with account, you agree to our Terms of Service and acknowledge that you have read our Privacy Policy	من خلال الاستمرار في الحساب، فإنك توافق على شروط الخدمة الخاصة بنا وتقر بأنك قد قرأت سياسة الخصوصية الخاصة بنا	Pokračováním v účtu souhlasíte s našimi Podmínkami služby a potvrzujete, že jste si přečetli naše Zásady ochrany osobních údajů	Indem Sie mit dem Konto fortfahren, stimmen Sie unseren Nutzungsbedingungen zu und bestätigen, dass Sie unsere Datenschutzrichtlinie gelesen haben	Συνεχίζοντας με τον λογαριασμό, συμφωνείτε με τους Όρους Παροχής Υπηρεσιών μας και αναγνωρίζετε ότι έχετε διαβάσει την Πολιτική Απορρήτου μας	Al continuar con la cuenta, acepta nuestros Términos de servicio y reconoce que ha leído nuestra Política de privacidad.	Kontoga jätkates nõustute meie teenusetingimustega ja kinnitate, et olete meie privaatsuspoliitikat lugenud	Jatkamalla tilin käyttöä hyväksyt käyttöehtomme ja vahvistat lukeneesi tietosuojakäytäntömme	En poursuivant votre compte, vous acceptez nos conditions d'utilisation et reconnaissez que vous avez lu notre politique de confidentialité.	खाता जारी रखकर, आप हमारी सेवा की शर्तों से सहमत हैं और स्वीकार करते हैं कि आपने हमारी गोपनीयता नीति पढ़ ली है	Dengan melanjutkan akun, Anda menyetujui Ketentuan Layanan kami dan mengakui bahwa Anda telah membaca Kebijakan Privasi kami	Continuando con l'account, accetti i nostri Termini di servizio e riconosci di aver letto la nostra Informativa sulla privacy	アカウントを続行すると、利用規約に同意し、プライバシー ポリシーを読んだことを認めたものとみなされます	ដោយបន្តជាមួយគណនី អ្នកយល់ព្រមនឹងលក្ខខណ្ឌនៃសេវាកម្មរបស់យើង ហើយទទួលស្គាល់ថាអ្នកបានអានគោលការណ៍ឯកជនភាពរបស់យើងហើយ	ಖಾತೆಯೊಂದಿಗೆ ಮುಂದುವರಿಯುವ ಮೂಲಕ, ನೀವು ನಮ್ಮ ಸೇವಾ ನಿಯಮಗಳನ್ನು ಒಪ್ಪುತ್ತೀರಿ ಮತ್ತು ನಮ್ಮ ಗೌಪ್ಯತೆ ನೀತಿಯನ್ನು ನೀವು ಓದಿದ್ದೀರಿ ಎಂದು ಒಪ್ಪಿಕೊಳ್ಳುತ್ತೀರಿ	계정을 계속 사용하면 서비스 약관에 동의하고 개인정보 보호정책을 읽었음을 인정하는 것입니다.	ໂດຍການສືບຕໍ່ບັນຊີ, ທ່ານຕົກລົງເຫັນດີກັບເງື່ອນໄຂການໃຫ້ບໍລິການຂອງພວກເຮົາ ແລະຮັບຮູ້ວ່າທ່ານໄດ້ອ່ານນະໂຍບາຍຄວາມເປັນສ່ວນຕົວຂອງພວກເຮົາແລ້ວ.	Turpinot darbu ar kontu, jūs piekrītat mūsu pakalpojumu sniegšanas noteikumiem un apstiprināt, ka esat izlasījis mūsu konfidencialitātes politiku	Dengan meneruskan akaun, anda bersetuju menerima Syarat Perkhidmatan kami dan mengakui bahawa anda telah membaca Dasar Privasi kami	Als u doorgaat met uw account, gaat u akkoord met onze Servicevoorwaarden en erkent u dat u ons Privacybeleid heeft gelezen	Kontynuując korzystanie z konta, wyrażasz zgodę na nasze Warunki świadczenia usług i potwierdzasz, że zapoznałeś się z naszą Polityką prywatności	Ao continuar com a conta, você concorda com nossos Termos de Serviço e reconhece que leu nossa Política de Privacidade	Продолжая использовать учетную запись, вы соглашаетесь с нашими Условиями обслуживания и подтверждаете, что прочитали нашу Политику конфиденциальности.	เมื่อดำเนินการต่อด้วยบัญชี แสดงว่าคุณยอมรับข้อกำหนดในการให้บริการของเรา และรับทราบว่าคุณได้อ่านนโยบายความเป็นส่วนตัวของเราแล้ว	Hesapla devam ederek Hizmet Koşullarımızı kabul etmiş ve Gizlilik Politikamızı okuduğunuzu onaylamış olursunuz.	Продовжуючи роботу з обліковим записом, ви погоджуєтеся з нашими Умовами обслуговування та підтверджуєте, що прочитали нашу Політику конфіденційності	继续使用帐户即表示您同意我们的服务条款并确认您已阅读我们的隐私政策	Bằng cách tiếp tục sử dụng tài khoản, bạn đồng ý với Điều khoản dịch vụ của chúng tôi và xác nhận rằng bạn đã đọc Chính sách quyền riêng tư của chúng tôi
writeACaption	Write a Caption	اكتب شرحا	Napište popisek	Schreibe eine Überschrift	Γράψτε μια λεζάντα	Escribir un subtitulo	Kirjutage pealdis	Kirjoita kuvateksti	Écrire une légende	एक शीर्षक लिखो	Tulis Keterangan	Scrivere una didascalia	キャプションを書く	សរសេរ Caption	ಶೀರ್ಷಿಕೆ ಬರೆಯಿರಿ	캡션 쓰기	ຂຽນຄຳບັນຍາຍ	Uzrakstiet parakstu	Tulis Kapsyen	Schrijf een bijschrift	Napisz podpis	Escreva uma legenda	Напишите подпись	เขียนคำบรรยายภาพ	Başlık yaz	Напишіть підпис	写一个标题	Viết chú thích
